['id', 'fullName', 'teamName', 'assists', 'goals', 'pim', 'shots', 'games', 'powerPlayGoals', 'powerPlayPoints', 'penaltyMinutes', 'shotPct', 'gameWinningGoals', 'overTimeGoals', 'shortHandedGoals', 'shortHandedPoints', 'plusMinus', 'points']
[8444996, 'Ralph Backstrom', 'Los Angeles Kings', 17, 15, 8, 126, 49, 2, 6, '8', 11.9, 1, 0, 1, 1, -7, 32]
[8445072, 'Bob Berry', 'Los Angeles Kings', 38, 25, 52, 149, 77, 4, 9, '52', 16.78, 2, 0, 0, 0, -6, 63]
[8445302, 'Mike Byers', 'Los Angeles Kings', 18, 27, 14, 179, 72, 4, 6, '14', 15.08, 5, 0, 0, 0, -6, 45]
[8445305, 'Larry Cahan', 'Los Angeles Kings', 11, 3, 45, 113, 67, 1, 1, '45', 2.65, 0, 0, 0, 2, -30, 14]
[8445834, 'Paul Curtis', 'Los Angeles Kings', 13, 1, 82, 66, 64, 0, 0, '82', 1.52, 0, 0, 0, 1, -18, 14]
[8445957, 'Dick Duff', 'Los Angeles Kings', 13, 8, 12, 71, 60, 0, 1, '12', 11.27, 1, 0, 0, 0, -20, 21]
[8446645, 'Lucien Grenier', 'Los Angeles Kings', 7, 9, 12, 63, 69, 1, 1, '12', 14.29, 1, 0, 1, 1, 1, 16]
[8446866, 'Bill Flett', 'Los Angeles Kings', 24, 13, 57, 182, 64, 5, 9, '57', 7.14, 0, 0, 0, 0, -30, 37]
[8446926, 'Harry Howell', 'Los Angeles Kings', 17, 3, 18, 84, 46, 1, 9, '18', 3.57, 0, 0, 0, 0, -19, 20]
[8447117, 'Eddie Joyal', 'Los Angeles Kings', 21, 20, 14, 168, 68, 3, 9, '14', 11.9, 1, 0, 0, 0, -11, 41]
[8447265, 'Gord Labossiere', 'Los Angeles Kings', 14, 19, 20, 133, 74, 1, 4, '20', 14.29, 1, 0, 0, 0, -26, 33]
[8447296, 'Butch Goring', 'Los Angeles Kings', 5, 2, 2, 15, 19, 0, 1, '2', 13.33, 0, 0, 0, 0, 5, 7]
[8447453, 'Real Lemieux', 'Los Angeles Kings', 6, 3, 22, 36, 43, 0, 0, '22', 8.33, 1, 0, 0, 0, -7, 9]
[8447617, 'Gilles Marotte', 'Los Angeles Kings', 27, 6, 96, 218, 78, 0, 8, '96', 2.75, 0, 0, 0, 0, -6, 33]
[8447767, 'Al McDonough', 'Los Angeles Kings', 1, 2, 0, 13, 6, 0, 0, '0', 15.38, 1, 0, 0, 0, 2, 3]
[8447853, 'Larry Mickey', 'Los Angeles Kings', 12, 6, 46, 101, 65, 0, 4, '46', 5.94, 2, 0, 1, 1, -13, 18]
[8447930, 'Dale Hoganson', 'Los Angeles Kings', 10, 4, 52, 72, 70, 0, 0, '52', 5.56, 0, 0, 0, 0, -15, 14]
[8448194, 'Noel Price', 'Los Angeles Kings', 19, 1, 29, 88, 62, 0, 4, '29', 1.14, 0, 0, 0, 0, -13, 20]
[8448227, 'Bob Pulford', 'Los Angeles Kings', 26, 17, 53, 170, 59, 6, 12, '53', 10.0, 2, 0, 1, 2, -13, 43]
[8448249, 'Matt Ravlich', 'Los Angeles Kings', 16, 3, 41, 57, 66, 0, 8, '41', 5.26, 1, 0, 0, 0, -15, 19]
[8448371, 'Doug Robinson', 'Los Angeles Kings', 13, 15, 8, 85, 62, 3, 3, '8', 17.65, 3, 0, 0, 0, -8, 28]
[8448882, 'Ross Lonsberry', 'Los Angeles Kings', 28, 25, 80, 238, 76, 5, 13, '80', 10.5, 0, 0, 2, 3, -35, 53]
[8448974, 'Eddie Shack', 'Los Angeles Kings', 19, 27, 101, 207, 67, 10, 19, '101', 13.04, 5, 0, 0, 0, -32, 46]
[8449151, 'Jim Stanfield', 'Los Angeles Kings', 0, 0, 0, 8, 2, 0, 0, '0', 0.0, 0, 0, 0, 0, 0, 0]
