id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8449217,Billy Taylor Jr.,New York Rangers,0,0,0,3,2,0,0,0,0.0,0,0,0,0,0,0
8450646,Jean Ratelle,New York Rangers,21,14,14,104,54,2,8,14,13.46,1,0,0,0,-20,35
8451870,Ted Taylor,New York Rangers,0,0,4,3,4,0,0,4,0.0,0,0,0,0,-3,0
8444988,Don Awrey,Boston Bruins,3,2,41,37,47,0,0,41,5.41,0,0,0,0,-12,5
8445005,Murray Balfour,Boston Bruins,2,0,26,41,15,0,1,26,0.0,0,0,0,0,-7,2
8445111,Leo Boivin,Boston Bruins,10,3,68,122,67,0,2,68,2.46,1,0,0,1,-17,13
8445240,Johnny Bucyk,Boston Bruins,29,26,24,196,68,7,14,24,13.27,2,0,0,0,-25,55
8445943,Gary Dornhoefer,Boston Bruins,1,0,13,13,20,0,0,13,0.0,0,0,0,0,0,1
8446002,Wayne Cashman,Boston Bruins,0,0,0,1,1,0,0,0,0.0,0,0,0,0,-3,0
8446324,Reg Fleming,Boston Bruins,23,18,140,178,67,1,4,140,10.11,4,0,2,3,2,41
8446585,Jeannot Gilbert,Boston Bruins,1,0,0,1,4,0,0,0,0.0,0,0,0,0,-1,1
8446605,Bill Goldsworthy,Boston Bruins,0,0,0,2,2,0,0,0,0.0,0,0,0,0,-1,0
8447101,Tom Johnson,Boston Bruins,9,0,30,51,51,0,0,30,0.0,0,0,0,2,-14,9
8447164,Forbes Kennedy,Boston Bruins,4,6,41,41,52,0,0,41,14.63,0,0,4,5,0,10
8447225,Bill Knibbs,Boston Bruins,10,7,4,66,53,0,1,4,10.61,0,0,0,1,-16,17
8447252,Orland Kurtenbach,Boston Bruins,20,6,91,135,64,0,5,91,4.44,0,0,1,2,-23,26
8447378,Bobby Leiter,Boston Bruins,1,3,6,26,18,0,0,6,11.54,0,0,0,0,-1,4
8447406,Ted Green,Boston Bruins,27,8,156,129,70,2,12,156,6.2,0,0,0,0,-44,35
8447642,Wayne Maxner,Boston Bruins,6,7,42,117,53,1,1,42,5.98,0,0,0,0,-15,13
8447710,Bob McCord,Boston Bruins,6,0,21,67,43,0,0,21,0.0,0,0,0,0,-17,6
8447744,Ab McDonald,Boston Bruins,9,9,6,104,60,2,2,6,8.65,3,0,0,0,-28,18
8448056,Murray Oliver,Boston Bruins,23,20,30,190,65,6,12,30,10.53,4,0,0,0,-30,43
8448191,Dean Prentice,Boston Bruins,9,14,12,81,31,3,5,12,17.28,2,0,1,1,-7,23
8448347,Wayne Rivers,Boston Bruins,17,6,72,82,58,0,3,72,7.32,0,0,0,0,-12,23
